,ID,PA,PB,PC
0,27,1,0,0
1,34,1,1,1
2,38,0,1,1
3,42,1,1,1
4,48,0,1,1
5,52,0,1,1
6,56,0,1,1
7,79,1,1,1
8,85,1,1,1
9,91,1,1,0
10,100,1,1,1
11,112,1,1,0
12,117,1,1,1
13,123,1,1,1
14,137,1,1,0
15,159,1,1,1
16,162,1,0,1
17,174,1,1,1
18,176,1,1,1
19,179,1,0,1
20,188,1,1,1
21,217,1,1,1
22,222,1,1,1
23,231,1,1,1
24,255,1,1,1
25,279,1,1,1
26,281,1,1,1
27,289,1,1,0
28,297,1,1,1
29,304,1,1,0
30,310,1,0,1
31,319,1,1,0
32,330,1,1,1
33,343,1,1,1
34,348,1,1,1
35,354,1,1,0
36,361,0,1,1
37,366,0,1,1
38,375,1,1,1
39,381,1,1,1
40,393,1,1,0
41,405,0,1,1
42,408,1,0,1
43,430,1,1,1
44,435,1,1,1
45,436,0,1,1
46,445,1,1,1
47,464,1,1,1
48,472,1,1,1
49,476,1,1,1
50,479,1,1,1
51,483,1,0,1
52,488,1,1,1
53,498,1,1,1
54,502,1,1,1
55,507,1,1,1
56,510,1,1,1
57,515,1,1,0
58,518,1,1,1
59,522,0,1,1
60,527,0,1,1
61,536,1,1,1
62,545,1,1,1
63,547,1,1,1
64,555,1,1,1
65,559,1,1,1
66,562,1,1,1
67,576,1,1,1
68,586,1,1,1
69,595,0,1,1
70,599,0,1,1
71,609,1,1,1
72,618,0,1,1
73,620,1,1,1
74,631,1,1,1
75,634,1,1,1
76,640,1,1,1
77,644,1,1,0
78,646,1,1,1
79,656,0,1,1
80,657,1,1,1
81,661,1,1,1
82,664,1,1,1
83,671,0,1,1
84,675,1,1,1
85,681,1,1,1
86,689,1,1,1
87,695,0,1,1
88,697,1,1,1
89,705,1,1,0
90,714,0,1,1
91,718,1,1,1
92,722,1,1,1
93,725,1,1,1
94,728,1,1,1
95,729,1,1,1
96,731,1,1,1
97,745,1,1,1
98,748,1,1,1
99,758,1,1,1
100,761,1,1,1
101,765,0,1,1
102,766,1,1,1
103,774,1,1,1
104,779,1,1,1
105,784,1,1,1
106,797,0,1,1
107,798,1,1,1
108,799,1,1,1
109,803,1,1,1
110,809,1,1,0
111,824,1,1,1
112,838,1,1,1
113,856,0,1,1
114,865,0,1,1
115,880,1,0,1
116,884,0,1,1
117,898,1,1,0
118,908,1,1,0
119,925,1,1,0
120,973,1,1,1
121,984,1,1,1
122,989,1,1,1
123,998,1,1,1
124,1005,1,1,1
125,1018,1,1,1
126,1022,1,1,1
127,1025,1,0,1
128,1030,1,0,1
129,1050,1,1,1
130,1055,1,1,1
131,1066,1,1,1
132,1069,1,1,1
133,1079,1,1,1
134,1082,1,1,1
135,1092,1,1,1
136,1097,1,1,1
137,1154,0,1,1
138,1158,1,1,1
139,1167,1,1,1
140,1174,0,1,1
141,1180,1,1,1
142,1189,1,1,1
143,1194,1,1,0
144,1202,1,1,0
145,1221,1,1,0
146,1224,1,1,0
147,1232,1,1,1
148,1239,0,1,1
149,1248,1,1,1
150,1258,0,1,1
151,1265,1,1,1
152,1281,1,1,1
153,1287,1,1,1
154,1294,1,1,1
155,1297,1,1,1
156,1303,0,1,1
157,1306,0,1,1
158,1311,1,1,1
159,1315,0,1,1
